"Subject","DT","M"
1,169.265,152.935
2,154.7725,102.3075
3,149.7275,136.2075
4,147.61,141.245
5,154.84,137.355
6,146.03,111.24
7,135.6875,173.75
8,134.825,102.515
9,164.09,146.6525
10,138.045,152.8525
11,185.105,169.4925
12,169.6325,77.755
13,167.7625,120.645
14,147.64,108.275
15,129.8075,151.2275
16,162.4525,131.51
17,154.48,194.7425
18,156.625,127.16
19,198.105,172.415
20,142.9,146.76
21,194.29,115.5975
22,179.6625,146.225
23,122.0775,166.8625
24,162.845,121.325
25,138.57,124.915
26,142.1925,138.4425
27,164.4,141.8675
28,146.3975,154.015
29,220.1625,190.7825
30,169.9625,108.6325
31,182.7125,132.63
32,135.0925,161.1425
33,146.3375,127.6125
34,158.7625,131.3775
35,149.995,115.965
36,175.125,120.96
